row,var,status,mismatch_reason,existing_in_or_not,proposed_in_or_not,existing_range,proposed_range,alternative_range,existing_decimal_check,proposed_decimal_check,decimal_note,question_excerpt
70,vF1_3,review,in_or_not differs; range differs,,range,,"range(vF1_3,1,5,96,96)","(range(vF1_3,1,5) | range(vF1_3,96,96))",,,,
71,vF2m1,review,in_or_not differs; range differs,,range,,"range(vF2m1,0,1,96,96)","(range(vF2m1,0,1) | range(vF2m1,96,96))",,,,
72,vF2m2,review,in_or_not differs; range differs,,range,,"range(vF2m2,0,1,96,96)","(range(vF2m2,0,1) | range(vF2m2,96,96))",,,,
73,vF2m3,review,in_or_not differs; range differs,,range,,"range(vF2m3,0,1,96,96)","(range(vF2m3,0,1) | range(vF2m3,96,96))",,,,
74,vF2m4,review,in_or_not differs; range differs,,range,,"range(vF2m4,0,1,96,96)","(range(vF2m4,0,1) | range(vF2m4,96,96))",,,,
75,vF2m5,review,in_or_not differs; range differs,,range,,"range(vF2m5,0,1,96,96)","(range(vF2m5,0,1) | range(vF2m5,96,96))",,,,
76,vF2m6,review,in_or_not differs; range differs,,range,,"range(vF2m6,0,1,96,96)","(range(vF2m6,0,1) | range(vF2m6,96,96))",,,,
77,vF2m7,review,in_or_not differs; range differs,,range,,"range(vF2m7,0,1,96,96)","(range(vF2m7,0,1) | range(vF2m7,96,96))",,,,
78,vF2m8,review,in_or_not differs; range differs,,range,,"range(vF2m8,0,1,96,96)","(range(vF2m8,0,1) | range(vF2m8,96,96))",,,,
79,vF2m9,review,in_or_not differs; range differs,,range,,"range(vF2m9,0,1,96,96)","(range(vF2m9,0,1) | range(vF2m9,96,96))",,,,
80,vF2m10,review,in_or_not differs; range differs,,range,,"range(vF2m10,0,1,96,96)","(range(vF2m10,0,1) | range(vF2m10,96,96))",,,,
81,vF2m11,review,in_or_not differs; range differs,,range,,"range(vF2m11,0,1,96,96)","(range(vF2m11,0,1) | range(vF2m11,96,96))",,,,
82,vF3,review,in_or_not differs; range differs,,range,,"range(vF3,1,3)","range(vF3,1,3)",,,,
83,vF4,review,in_or_not differs; range differs,,range,,"range(vF4,1,3)","range(vF4,1,3)",,,,"F4 目前由中央與地方政府提供之5歲以下每月育兒津貼與托育補助,合計約在6,000元至2萬元之間(視托育方式、胎次及各縣市而定)。在考量政府財政資源有限,且提高每月補助可能排擠其它育兒支持政策的情況下,您認為5歲以下,每月育兒津貼及托育補助,每月補助金額至少應提高至多少,方能有生育誘因?(1) 2萬(含)~3萬元:約可支應「準公共托嬰/保母」之費用。(2) 3萬(含)~4萬元:約等同「最低工資」至「經常性薪資中位數」,以補償因親自照護而產生的薪資損失。(3) 以上金額均不足以構成生育誘因"
84,vF5,review,in_or_not differs; range differs,,range,,"range(vF5,1,4)","range(vF5,1,4)",,,,"F5 目前育兒津貼與托育補助多集中於6歲學齡前階段。在考量政府財政資源有限,且提高每月補助可能排擠其它育兒支持政策的情況下,若將補助延長至18歲,每月固定補助多少金額,方能有生育誘因?(1) 每月約5,000元(目前公告政策)(2) 每月約8,000元(3) 每月約10,000元(4) 以上金額均不足以構成生育誘因"
85,vF6,review,in_or_not differs; range differs,,range,,"range(vF6,1,4)","range(vF6,1,4)",,,,"F6 目前育嬰留職停薪津貼為投保薪資的80%,每一子女合計最長領6個月,下列哪項津貼的措施,最能有生育誘因?(1) 延長育嬰留職停薪津貼請領期限,現行6個月延長至1年(2) 調升津貼至投保薪資的100%(3) 12歲以下子女的員工每日縮短工時1小時,政府補助雇主部分薪資成本(4) 以上措施均不足以構成生育誘因"
86,vF7,review,in_or_not differs; range differs,,range,,"range(vF7,1,5)","range(vF7,1,5)",,,,"F7 針對現行托育環境,您認為下列哪項政策的落實最能建立您的託付信心?(1) 降低托育師生比(2) 提高托育人員薪資待遇(3) 強化政府對於托育人員及機構的監管效能(4) 托育人員(含居家保母)的監管及懲處制度的落實(5) 以上措施均不足以建立託付信心7. 基本資料"
87,vG1,review,in_or_not differs; range differs,,range,,"range(vG1,21,95)","range(vG1,21,95)",,,,G1 請問您是民國幾年出生?民國______年【範圍設定21-95】
88,vG2,review,in_or_not differs; range differs,,range,,"range(vG2,1,6)","range(vG2,1,6)",,,,G2 請問您的最高學歷是什麼?(含肄業及就學中)(1)國小以下(2)國(初)中(3)高中職(4)專科(5)大學(6)碩博士
89,vG3,review,in_or_not differs; range differs,,range,,"range(vG3,1,5)","range(vG3,1,5)",,,,G3 請問您個人(或同住家人的家庭)每月經常性收入大約是在以下哪個範圍?(說明:經常性收入包含薪資、房租、捐贈等其它收入)(1) 少於3萬(2) 3萬(含)~6萬(3) 6萬(含)~10萬(4) 10萬(含)~15萬(5) 15萬(含)以上
90,vG4,review,in_or_not differs; range differs,,range,,"range(vG4,0,999999)","range(vG4,0,999999)",,,,G4 請問與您同住的家人有幾位?有___位同住家人(若自己住請填0)
91,vG5,review,in_or_not differs; range differs,,range,,"range(vG5,1,2)","range(vG5,1,2)",,,,G5 您的性別(1)男    (2)女
92,vG6,review,in_or_not differs; range differs,,range,,"range(vG6,1,5)","range(vG6,1,5)",,,,G6 請問您目前的婚姻狀態?(1)從未結婚  (2)已婚  (3)離婚  (4)分居  (5)喪偶
93,vG7,review,in_or_not differs; range differs,,range,,"range(vG7,0,999999)","range(vG7,0,999999)",,,,G7 請問您有幾位小孩?有____位小孩(若無請填0)
94,vX1,review,in_or_not differs; range differs,,range,,"range(vX1,1,2)","range(vX1,1,2)",,,,"X1 請問您是否有小型車駕照?(說明:小型車指自用、營業或租賃小客車、小貨車及小客貨兩用車)(1)有    (2)沒有END非常感謝您的填答!以下提供統一超商(7-11) 50元現金折價券PIN碼及抽獎號碼,請自行記下或截圖保存:⬛PIN碼:${A:PIN}(兌換期限至115年7月15日)⬛抽獎號碼:${A:N}(將於7月上旬進行抽獎並提供統一超商現金折價券PIN碼給中獎者)********************************************如何使用折價券?使用規則:1.折價券須透過7-"
95,vEND3,review,in_or_not differs; range differs,,range,,"range(vEND3,20260609000000,20260629000000)","range(vEND3,20260609000000,20260629000000)",,,,
