var,qid,status,reason,existing_r1,existing_r2,existing_r3,existing_r4,proposed_r1,proposed_r2,proposed_r3,proposed_r4,source,question_excerpt
vH4,H4,mismatch,existing r1-r4 differ from proposal,"0,990",991,997,998,991,997,998,,option code span including table,"H4‧請問您平常一天會固定「透過網路」接觸且認識的人有幾位?例如在臉書(Facebook)、LINE、線上遊戲平台互相傳訊息或貼圖,叫得出名字或暱稱才算。【數值題,範圍為0-990、991、997、998】【E1答(01)者,需回答此題】 * 有互相傳訊息或貼圖才算,只在受訪者聯絡清單上但沒有互動就不算。 * 如果受訪者在LINE群組傳訊息,有回應的人才算,沒回應的人不算。 訪員注意:本題請填寫整數,若超過990人請鍵入「991」;如受訪者沒有固定「透過網路」接觸且認識的人,請填入「0」。 ________人 □ (991)超過990人 □ (997)不知道 □ (998)拒答"
vH5,H5,range_match_special_diff,r1 matches; r2-r4 differ,"1,5",997,998,97,"1,5",97,98,997,option code span including table,"H5‧那比較接近下面哪個答案?【H4答(997)或(998)者,才需回答此題】 □ (01) 0人 □ (02) 1到2人 □ (03) 3到5人 □ (04) 6到10人 □ (05) 11人以上□ (97)不知道 □ (98)拒答"
vH7,H7,mismatch,existing r1-r4 differ from proposal,"0,990",991,997,998,97,98,991,997,option code span including table,"H7_3‧您平常一天會固定面對面接觸且認識的人有【貼題H2】人,會透過網路(例如:LINE)接觸且認識的人有【貼題H5】人,請問這兩群人中您會面對面同時也會透過網路接觸且認識的人有幾位?【數值題,範圍為0-990、991、997、998】【H2未答(01)、(97)、(98),且H5未答(01)、(97)、(98)者,需答此題】 訪員注意:本題請填寫整數,若超過990人,請鍵入「991」;如受訪者沒有會面對面同時也會透過網路接觸且認識的人,請填入「0」。 ________人□ (991)超過990人 □ (997)不知道 □ (998)拒答"
vH8,H8,mismatch,existing r1-r4 differ from proposal,"0,500",991,997,998,991,997,998,,option code span including table,"H8‧請問您會經常一起討論「個人」的重要問題或分享心事(台語:講心內話)的人,有幾位?【數值題,範圍為0-500、991、997、998】 訪員注意: 1.若為區間請取「中間值」後四捨五入,例如:10~15人,填「13」人。 2.本題請填寫整數,若超過500人請鍵入「991」。 3.如受訪者沒有會一起討論「個人」的重要問題或分享心事的人,請填入「0」。 ________人□ (991)超過500人 □ (997)不知道 □ (998)拒答 M、傳播行為(電玩篇)"
vN24,N24,mismatch,existing r1-r4 differ from proposal,"1,88",97,98,,"1,5",97,98,,option code span including table,"N24‧整體而言,您對於您的工作滿不滿意?(卡33) 【O1答(01)-(05)、(88)者,需回答此題】 □ (01)非常不滿意 □ (02)不滿意 □ (03)普通 □ (04)滿意 □ (97)不知道 □ (98)拒答 □ (05)非常滿意"
vQ3,Q3,mismatch,existing r1-r4 differ from proposal,"1,8",97,98,,"1,4",97,98,,option code span including table,"Q3. 最近一個月,請問您有多常透過廣播獲得政治或公共事務的訊息呢? (卡40)【C1回答0者,不需回答此題】 □(01) 從來沒有【C3答(08)者,選項互斥】 □(02) 很少 □(03) 有時 □(04) 經常□(97) 不知道 □(98) 拒答"
vQ4,Q4,mismatch,existing r1-r4 differ from proposal,"1,8",97,98,,"1,4",97,98,,option code span including table,"Q4. 最近一個月,請問您有多常透過電視獲得政治或公共事務的訊息呢?(卡40)【B1及B3皆回答0者,不需回答此題】 □(01) 從來沒有【B8答(08)者,選項互斥】 □(02) 很少 □(03) 有時 □(04) 經常□(97) 不知道 □(98) 拒答"
vQ6,Q6,range_match_special_diff,r1 matches; r2-r4 differ,"1,4",97,98,90,"1,4",90,97,98,option code span including table,"Q6.請問您多常透過下列網路平台接觸到(包括:觀看、瀏覽、點閱或蒐尋)和「政治或公共事務」有關的新聞、訊息或影片? 社群媒體(如:Threads、臉書Facebook、Instagram、抖音TikTok等)?(卡41)【Q5答(02)、(97)、(98)者,或K2答(90)者,不需答此題】【不須答此題】 訪員注意:如受訪者對於社群媒體或通訊軟體有疑慮,請出示卡40A說明。 □(01) 從來沒有 □(02) 很少 □(03) 有時 □(04) 經常□(97) 不知道 □(98) 拒答"
vQ7,Q7,range_match_special_diff,r1 matches; r2-r4 differ,"1,4",97,98,90,"1,4",90,97,98,option code span including table,"Q7.請問您多常透過下列網路平台接觸到(包括:觀看、瀏覽、點閱或蒐尋)和「政治或公共事務」有關的新聞、訊息或影片? 影音平台(如:YouTube)?(卡41)【Q5答(02)、(97)、(98)者,或K3答(90)者,不需答此題】 □(01) 從來沒有 □(02) 很少 □(03) 有時 □(04) 經常□(97) 不知道 □(98) 拒答"
vQ8,Q8,range_match_special_diff,r1 matches; r2-r4 differ,"1,4",97,98,90,"1,4",90,97,98,option code span including table,"Q8.請問您多常透過下列網路平台接觸到(包括:觀看、瀏覽、點閱或蒐尋)和「政治或公共事務」有關的新聞、訊息或影片? 通訊軟體(如:LINE、FB messenger)?(卡41)【Q5答(02)、(97)、(98)者,或K1答(90)者,不需答此題】 訪員注意:如受訪者對於社群媒體或通訊軟體有疑慮,請出示卡40A說明。 □(01) 從來沒有 □(02) 很少 □(03) 有時 □(04) 經常□(97) 不知道 □(98) 拒答"
vQ9,Q9,range_match_special_diff,r1 matches; r2-r4 differ,"1,4",97,98,90,"1,4",90,97,98,option code span including table,"Q9.請問您多常透過下列網路平台接觸到(包括:觀看、瀏覽、點閱或蒐尋)和「政治或公共事務」有關的新聞、訊息或影片? 新聞網站(如:ETtoday新聞雲、聯合新聞網等)?(卡41)【Q5答(02)、(97)、(98)者,或G7和G8和G9和G10和G11皆答(90),不需答此題】 □(01) 從來沒有 □(02) 很少 □(03) 有時 □(04) 經常□(97) 不知道 □(98) 拒答"
vCKQ10,Q10,range_match_special_diff,r1 matches; r2-r4 differ,"1,2",,,,"1,2",97,98,,option code span including table,"Q10. 請問您有沒有透過網路轉貼、轉寄或分享和「政治或公共事務」有關的新聞、訊息或影片?【E1答(01)者,需回答此題】 □ (01)有 □ (02)沒有 □ (97)不知道 □ (98)拒答 【檢查題】CKQ10.請向受訪者說明:【Q5答(02)者,且Q10答(01)者,需回答此題】 您之前答沒有透過網路接觸到政治或公共事務相關訊息(Q5), 但會透過網路轉貼、轉寄或分享政治或公共事務相關訊息(Q10), 請您再次確認,最近一個月有沒有透過網路接觸到和「政治或公共事務」有關的新聞、訊息或影片?(很少也算) 「有接觸」,請回到Q5題點選(01)有; 「沒有接觸」,請回到Q10題點選(02)沒"
vQ11,Q11,range_match_special_diff,r1 matches; r2-r4 differ,"1,4",97,98,90,"1,4",90,97,98,option code span including table,"Q11.請問您多常透過下列網路平台轉貼、轉寄或分享和「政治或公共事務」有關的新聞、訊息或影片? 社群媒體(如:Threads、臉書Facebook、Instagram、抖音TikTok等)?(卡41)【Q10答(02)、(97)、(98)者,或K2答(90)者,或Q6答(01)者,不需答此題】 訪員注意:如受訪者對於社群媒體或通訊軟體有疑慮,請出示卡40A說明。 □(01) 從來沒有 □(02) 很少 □(03) 有時 □(04) 經常□(97) 不知道 □(98) 拒答"
vQ12,Q12,range_match_special_diff,r1 matches; r2-r4 differ,"1,4",97,98,90,"1,4",90,97,98,option code span including table,"Q12.請問您多常透過下列網路平台轉貼、轉寄或分享和「政治或公共事務」有關的新聞、訊息或影片? 影音平台(如:YouTube)?(卡41)【Q10答(02)、(97)、(98)者,或K3答(90)者,或Q7答(01)者,不需答此題】 □(01) 從來沒有 □(02) 很少 □(03) 有時 □(04) 經常□(97) 不知道 □(98) 拒答"
vQ13,Q13,range_match_special_diff,r1 matches; r2-r4 differ,"1,4",97,98,90,"1,4",90,97,98,option code span including table,"Q13.請問您多常透過下列網路平台轉貼、轉寄或分享和「政治或公共事務」有關的新聞、訊息或影片? 通訊軟體(如:LINE、FB messenger)?(卡41)【Q10答(02)、(97)、(98)者,或K1答(90)者,或Q8答(01)者,不需答此題】 訪員注意:如受訪者對於社群媒體或通訊軟體有疑慮,請出示卡40A說明。 □(01) 從來沒有 □(02) 很少 □(03) 有時 □(04) 經常□(97) 不知道 □(98) 拒答"
vQ14,Q14,range_match_special_diff,r1 matches; r2-r4 differ,"1,4",97,98,90,"1,4",90,97,98,option code span including table,"Q14.請問您多常透過下列網路平台轉貼、轉寄或分享和「政治或公共事務」有關的新聞、訊息或影片? 新聞網站(如:ETtoday新聞雲、聯合新聞網等)?(卡41)【Q10答(02)、(97)、(98)者,或G7和G8和G9和G10和G11皆答(90),或Q9答(01)者,不需答此題】 □(01) 從來沒有 □(02) 很少 □(03) 有時 □(04) 經常□(97) 不知道 □(98) 拒答"
vQ16,Q16,range_match_special_diff,r1 matches; r2-r4 differ,"1,4",97,98,90,"1,4",90,97,98,option code span including table,"Q16.請問您多常透過下列網路平台發「政治或公共事務」相關的訊息(包含製作影片或評論新聞)? 社群媒體(如:Threads、臉書Facebook、Instagram、抖音TikTok等)?(卡41)【Q15答(02)、(97)、(98)者,或K2答(90)者,不需答此題】 訪員注意:如受訪者對於社群媒體或通訊軟體有疑慮,請出示卡40A說明。 □(01) 從來沒有 □(02) 很少 □(03) 有時 □(04) 經常□(97) 不知道 □(98) 拒答"
vQ17,Q17,range_match_special_diff,r1 matches; r2-r4 differ,"1,4",97,98,90,"1,4",90,97,98,option code span including table,"Q17.請問您多常透過下列網路平台發「政治或公共事務」相關的訊息(包含製作影片或評論新聞)? 影音平台(如:YouTube)?(卡41)【Q15答(02)、(97)、(98)者,或K3答(90)者,不需答此題】 □(01) 從來沒有 □(02) 很少 □(03) 有時 □(04) 經常□(97) 不知道 □(98) 拒答"
vQ18,Q18,range_match_special_diff,r1 matches; r2-r4 differ,"1,4",97,98,90,"1,4",90,97,98,option code span including table,"Q18.問您多常透過下列網路平台發「政治或公共事務」相關的訊息(包含製作影片或評論新聞)? 通訊軟體(如:LINE、FB messenger)?(卡41)【Q15答(02)、(97)、(98)者,或K1答(90)者,不需答此題】 訪員注意:如受訪者對於社群媒體或通訊軟體有疑慮,請出示卡40A說明。 □(01) 從來沒有 □(02) 很少 □(03) 有時 □(04) 經常□(97) 不知道 □(98) 拒答"
vQ19,Q19,range_match_special_diff,r1 matches; r2-r4 differ,"1,4",97,98,90,"1,4",90,97,98,option code span including table,"Q19.請問您多常透過下列網路平台發「政治或公共事務」相關的訊息(包含製作影片或評論新聞)?新聞網站(如:ETtoday新聞雲、聯合新聞網等)?(卡41)【Q15答(02)、(97)、(98)者,或G7和G8和G9和G10和G11皆答(90),不需答此題】 □(01) 從來沒有 □(02) 很少 □(03) 有時 □(04) 經常□(97) 不知道 □(98) 拒答"
vQ45,Q45,mismatch,existing r1-r4 differ from proposal,"1,89",90,91,92,"1,88",90,91,92,option code span including table,"Q45.那請問您有沒有比較傾向投給哪一黨的候選人?(卡59)【Q44答(89)、(90)、(91)、(92)、 (94)、(95)、(97)、(98),需答此題】 □(01)國民黨 □(02)民進黨 □(03)台灣民眾黨 □(04)無黨籍 □(88)其他政黨,請說明____ □(90)都沒有 □(97)不知道 □(98)拒答"
vQ50,Q50,mismatch,existing r1-r4 differ from proposal,2,97,98,,"1,2",97,98,,option code span including table,"Q50那相對來說,請問您有沒有稍微偏向支持哪一個政黨?【Q49答(02)、(97)、(98),需答此題】 □ (01) 有 □ (97) 不知道 □ (02) 沒有 □ (98) 拒答"
vQ51,Q51,range_match_special_diff,r1 matches; r2-r4 differ,"1,88",,,,"1,88",97,98,,option code span including table,"Q51請問是哪一個政黨?(卡61) 【Q49答(01),或Q50答(01),需答此題】 訪員備註:如果支持特定政治人物或泛藍、泛綠,請在(88)其他輸入答案。 □(01)國民黨 □(06)時代力量 □(11)小民參政歐巴桑聯盟 □(02)民進黨 □(07)台灣基進 □(88)其他政黨,請說明___ □(03)新黨 □(08)台灣民眾黨 □(97)不知道 □(04)親民黨 □(09)社會民主黨 □(98)拒答 □(05)綠黨 □(10)台灣團結聯盟 "
vQ52,Q52,mismatch,existing r1-r4 differ from proposal,"1,88",,,,"1,3",94,95,97,option code span including table,"Q52請問,您偏向【貼題Q51】這個政黨的程度是很強,普通,還是有一點?【Q51答(01) ~ (88),需答此題】 □(01) 很強 □(94) 看情形 □(02) 普通 □(95) 無意見 □(03) 有一點 □(97) 不知道 □(98) 拒答"
vQ54,Q54,mismatch,existing r1-r4 differ from proposal,"1,88",97,98,,"0,88",97,98,,option code span including table,"Q54在我們社會上,有人說自己是「臺灣人」,也有人說自己是「中國人」,也有人說都是。請問您認為自己是「臺灣人」、「中國人」,或者都是? □(01)臺灣人 □(02)中國人 □(03)都是 □(88)其他,請說明_____ □(97)不知道 □(98)拒答 【陶振超委員】P5_6‧我們社會中,有一群人比較接近上層,有一群人比較接近下層,請問您認為台灣的軍人位於梯子的哪一層?(卡64)【調查結束後recode為問卷選項號】 □(10)10 □(09)9 □(08)8 □(07)7 □(06)6 □(05)5 □(04)4 □(03)3 □(02)2 □(01)1 □(00)0 □ (97)不知道 "
