row,var,qid,status,reason,existing_r1,existing_r2,existing_r3,existing_r4,proposed_r1,proposed_r2,proposed_r3,proposed_r4,source,question_excerpt
186,vK3m03,K3,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K3‧請問您最近一個月有沒有使用下列影音平台?(可多選)(卡16) 訪員注意: 1.YouTube必須真的在看或在聽才算有在使用,只是當背景音樂不算。 2.若是在LINE上看到YouTube影片,有點開YouTube網頁或APP才算有使用。 3.不論是透過手機、平板、電腦或智慧電視用影音平台都算。 □ (01)YouTube □ (02)愛奇藝 □ (03)Netflix(網飛) □ (04)LINE TV (已與原KKTV合併) □ (05)LiTV □ (06)Twitch □ (07)Disney+(迪士尼串流平台) □ (08)巴哈姆特動畫瘋 □ (09) Bilibili嗶哩嗶哩 □"
187,vK3m04,K3,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K3‧請問您最近一個月有沒有使用下列影音平台?(可多選)(卡16) 訪員注意: 1.YouTube必須真的在看或在聽才算有在使用,只是當背景音樂不算。 2.若是在LINE上看到YouTube影片,有點開YouTube網頁或APP才算有使用。 3.不論是透過手機、平板、電腦或智慧電視用影音平台都算。 □ (01)YouTube □ (02)愛奇藝 □ (03)Netflix(網飛) □ (04)LINE TV (已與原KKTV合併) □ (05)LiTV □ (06)Twitch □ (07)Disney+(迪士尼串流平台) □ (08)巴哈姆特動畫瘋 □ (09) Bilibili嗶哩嗶哩 □"
188,vK3m05,K3,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K3‧請問您最近一個月有沒有使用下列影音平台?(可多選)(卡16) 訪員注意: 1.YouTube必須真的在看或在聽才算有在使用,只是當背景音樂不算。 2.若是在LINE上看到YouTube影片,有點開YouTube網頁或APP才算有使用。 3.不論是透過手機、平板、電腦或智慧電視用影音平台都算。 □ (01)YouTube □ (02)愛奇藝 □ (03)Netflix(網飛) □ (04)LINE TV (已與原KKTV合併) □ (05)LiTV □ (06)Twitch □ (07)Disney+(迪士尼串流平台) □ (08)巴哈姆特動畫瘋 □ (09) Bilibili嗶哩嗶哩 □"
189,vK3m06,K3,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K3‧請問您最近一個月有沒有使用下列影音平台?(可多選)(卡16) 訪員注意: 1.YouTube必須真的在看或在聽才算有在使用,只是當背景音樂不算。 2.若是在LINE上看到YouTube影片,有點開YouTube網頁或APP才算有使用。 3.不論是透過手機、平板、電腦或智慧電視用影音平台都算。 □ (01)YouTube □ (02)愛奇藝 □ (03)Netflix(網飛) □ (04)LINE TV (已與原KKTV合併) □ (05)LiTV □ (06)Twitch □ (07)Disney+(迪士尼串流平台) □ (08)巴哈姆特動畫瘋 □ (09) Bilibili嗶哩嗶哩 □"
190,vK3m07,K3,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K3‧請問您最近一個月有沒有使用下列影音平台?(可多選)(卡16) 訪員注意: 1.YouTube必須真的在看或在聽才算有在使用,只是當背景音樂不算。 2.若是在LINE上看到YouTube影片,有點開YouTube網頁或APP才算有使用。 3.不論是透過手機、平板、電腦或智慧電視用影音平台都算。 □ (01)YouTube □ (02)愛奇藝 □ (03)Netflix(網飛) □ (04)LINE TV (已與原KKTV合併) □ (05)LiTV □ (06)Twitch □ (07)Disney+(迪士尼串流平台) □ (08)巴哈姆特動畫瘋 □ (09) Bilibili嗶哩嗶哩 □"
191,vK3m08,K3,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K3‧請問您最近一個月有沒有使用下列影音平台?(可多選)(卡16) 訪員注意: 1.YouTube必須真的在看或在聽才算有在使用,只是當背景音樂不算。 2.若是在LINE上看到YouTube影片,有點開YouTube網頁或APP才算有使用。 3.不論是透過手機、平板、電腦或智慧電視用影音平台都算。 □ (01)YouTube □ (02)愛奇藝 □ (03)Netflix(網飛) □ (04)LINE TV (已與原KKTV合併) □ (05)LiTV □ (06)Twitch □ (07)Disney+(迪士尼串流平台) □ (08)巴哈姆特動畫瘋 □ (09) Bilibili嗶哩嗶哩 □"
192,vK3m09,K3,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K3‧請問您最近一個月有沒有使用下列影音平台?(可多選)(卡16) 訪員注意: 1.YouTube必須真的在看或在聽才算有在使用,只是當背景音樂不算。 2.若是在LINE上看到YouTube影片,有點開YouTube網頁或APP才算有使用。 3.不論是透過手機、平板、電腦或智慧電視用影音平台都算。 □ (01)YouTube □ (02)愛奇藝 □ (03)Netflix(網飛) □ (04)LINE TV (已與原KKTV合併) □ (05)LiTV □ (06)Twitch □ (07)Disney+(迪士尼串流平台) □ (08)巴哈姆特動畫瘋 □ (09) Bilibili嗶哩嗶哩 □"
193,vK3m88,K3,match,,"0,1",96,,,"0,1",96,,,multiple-response binary,"K3‧請問您最近一個月有沒有使用下列影音平台?(可多選)(卡16) 訪員注意: 1.YouTube必須真的在看或在聽才算有在使用,只是當背景音樂不算。 2.若是在LINE上看到YouTube影片,有點開YouTube網頁或APP才算有使用。 3.不論是透過手機、平板、電腦或智慧電視用影音平台都算。 □ (01)YouTube □ (02)愛奇藝 □ (03)Netflix(網飛) □ (04)LINE TV (已與原KKTV合併) □ (05)LiTV □ (06)Twitch □ (07)Disney+(迪士尼串流平台) □ (08)巴哈姆特動畫瘋 □ (09) Bilibili嗶哩嗶哩 □"
194,vK3m90,K3,match,,"0,1",96,,,"0,1",96,,,multiple-response binary,"K3‧請問您最近一個月有沒有使用下列影音平台?(可多選)(卡16) 訪員注意: 1.YouTube必須真的在看或在聽才算有在使用,只是當背景音樂不算。 2.若是在LINE上看到YouTube影片,有點開YouTube網頁或APP才算有使用。 3.不論是透過手機、平板、電腦或智慧電視用影音平台都算。 □ (01)YouTube □ (02)愛奇藝 □ (03)Netflix(網飛) □ (04)LINE TV (已與原KKTV合併) □ (05)LiTV □ (06)Twitch □ (07)Disney+(迪士尼串流平台) □ (08)巴哈姆特動畫瘋 □ (09) Bilibili嗶哩嗶哩 □"
195,vE18,E18,match,,"1,88",97,98,,"1,88",97,98,,option code span including table,"E18‧請問您平常主要是透過哪種方式使用YouTube?(卡17)【K3答(01)者,才需回答此題】 訪員注意:如果是用手機連到電視螢幕,依然認定是透過「手機」使用YouTube。 □ (01)手機【與D1答(03)互斥】 □ (02)平板 □ (03)電腦(包括桌機與筆電) □ (04)智慧型電視/連網電視□ (88)其他,請說明:_________【開放填答】 □ (97)不知道 □ (98)拒答"
196,vKYT1,KYT1,mismatch,existing r1-r4 differ from proposal,"0.5,7",95,97,98,95,97,98,,option code span including table,"KYT1‧請問您每週平均有幾天使用YouTube?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K3答(01)者,才需回答此題】 * YouTube必須真的在看或在聽才算有在使用,只是當背景音樂不算。 * 若沒有固定使用YouTube(例如:看到喜歡、有興趣的影片才會看),請受訪者回想「最近一週」使用YouTube的天數。 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.答案無法填答時(例如:一個月只看1天)或每週平均用不到0.5天,請填入「95」。 ____"
197,vKYT2,KYT2,match,,"1,2359",9797,9898,,"1,2359",9797,9898,,explicit numeric range,"KYT2‧在您有使用YouTube的那一天,您一整天大概會使用多久(真的有在用YouTube的時間)?【數值題,範圍:0001-2359、9797、9898】【K3答(01)者,才需回答此題】 * 若使用時間很分散,只要有空就會用,請受訪者儘量回想在什麼場合會看YouTube,如:通勤、睡 前等,將這些時間進行加總。 * 請以發生頻率較高(天數較多)來回答一整天看的時間,不是填看最長的時間。例如星期一到星期四都是3小時,星期五到星期日都是6小時,則頻率較高為星期一到星期四,答案填入「0300」。 訪員注意: 1.本題為數值題,請填入4位數,例如2小時30分,請填入「0230」。 2.若為區間請"
198,vE1,E1,mismatch,existing r1-r4 differ from proposal,"1,88",97,98,,"1,2",97,98,,option code span including table,"E1‧接下來將詢問關於您最近一個月每週「上網」情況的題目。請問您最近一個月有沒有在使用網路,例如:用LINE、滑臉書(Facebook)、看YouTube等?(卡7、8、16) 訪員注意: 在K1、K2、K3表示有使用即時通訊軟體、社群媒體,或影音平台的受訪者,在本題就是代表有用網路,請訪員讀題確認後,即可直接「選填(01)有」選項。 「上網」是指用電腦、平板或手機連上網路,例如:用LINE、Facebook、用YouTube看影片、瀏覽新聞、查資料、玩線上遊戲等。 □ (01)有【K1或K2或K3答(01)-(88)者,只能選填此選項】 □ (02)沒有□ (97)不知道 □ (98)拒答"
199,vE2m01,E2,match,,"0,1",,,,"0,1",,,,multiple-response binary,"E2‧請問您平常是用哪些設備上網?(可多選)(卡18)【E1答(01)者,需答此題】【資料處理:E17或E18答(01)者,E2選項(01)必選;E17或E18答(02)者,E2選項(02)必選;E17或E18答(03)者,E2選項(03)必選;E18答(04)者,E2選項(04)必選】 受訪者主要使用LINE的裝置:【E17貼題】(E17) 受訪者主要使用YouTube的裝置:【E18貼題】(E18) 訪員注意:受訪者在E17或E18有勾選的裝置,同樣屬於上網的裝置,在此題也需要確認與勾選。 □ (01)手機【與D1答(03)互斥】 □ (02)平板 □ (03)電腦(包括桌機與筆電) □ "
200,vE2m02,E2,match,,"0,1",,,,"0,1",,,,multiple-response binary,"E2‧請問您平常是用哪些設備上網?(可多選)(卡18)【E1答(01)者,需答此題】【資料處理:E17或E18答(01)者,E2選項(01)必選;E17或E18答(02)者,E2選項(02)必選;E17或E18答(03)者,E2選項(03)必選;E18答(04)者,E2選項(04)必選】 受訪者主要使用LINE的裝置:【E17貼題】(E17) 受訪者主要使用YouTube的裝置:【E18貼題】(E18) 訪員注意:受訪者在E17或E18有勾選的裝置,同樣屬於上網的裝置,在此題也需要確認與勾選。 □ (01)手機【與D1答(03)互斥】 □ (02)平板 □ (03)電腦(包括桌機與筆電) □ "
201,vE2m03,E2,match,,"0,1",,,,"0,1",,,,multiple-response binary,"E2‧請問您平常是用哪些設備上網?(可多選)(卡18)【E1答(01)者,需答此題】【資料處理:E17或E18答(01)者,E2選項(01)必選;E17或E18答(02)者,E2選項(02)必選;E17或E18答(03)者,E2選項(03)必選;E18答(04)者,E2選項(04)必選】 受訪者主要使用LINE的裝置:【E17貼題】(E17) 受訪者主要使用YouTube的裝置:【E18貼題】(E18) 訪員注意:受訪者在E17或E18有勾選的裝置,同樣屬於上網的裝置,在此題也需要確認與勾選。 □ (01)手機【與D1答(03)互斥】 □ (02)平板 □ (03)電腦(包括桌機與筆電) □ "
202,vE2m04,E2,match,,"0,1",,,,"0,1",,,,multiple-response binary,"E2‧請問您平常是用哪些設備上網?(可多選)(卡18)【E1答(01)者,需答此題】【資料處理:E17或E18答(01)者,E2選項(01)必選;E17或E18答(02)者,E2選項(02)必選;E17或E18答(03)者,E2選項(03)必選;E18答(04)者,E2選項(04)必選】 受訪者主要使用LINE的裝置:【E17貼題】(E17) 受訪者主要使用YouTube的裝置:【E18貼題】(E18) 訪員注意:受訪者在E17或E18有勾選的裝置,同樣屬於上網的裝置,在此題也需要確認與勾選。 □ (01)手機【與D1答(03)互斥】 □ (02)平板 □ (03)電腦(包括桌機與筆電) □ "
203,vE2m88,E2,match,,"0,1",96,,,"0,1",96,,,multiple-response binary,"E2‧請問您平常是用哪些設備上網?(可多選)(卡18)【E1答(01)者,需答此題】【資料處理:E17或E18答(01)者,E2選項(01)必選;E17或E18答(02)者,E2選項(02)必選;E17或E18答(03)者,E2選項(03)必選;E18答(04)者,E2選項(04)必選】 受訪者主要使用LINE的裝置:【E17貼題】(E17) 受訪者主要使用YouTube的裝置:【E18貼題】(E18) 訪員注意:受訪者在E17或E18有勾選的裝置,同樣屬於上網的裝置,在此題也需要確認與勾選。 □ (01)手機【與D1答(03)互斥】 □ (02)平板 □ (03)電腦(包括桌機與筆電) □ "
204,vE4,E4,mismatch,existing r1-r4 differ from proposal,"0.5,7",95,97,98,95,97,98,,option code span including table,"E4‧您先前回答「每週平均有【貼D2答案】天會使用手機」,請問【貼D2答案】天中,平均有幾天會透過手機上網,例如:用LINE、滑臉書(Facebook)、看YouTube,只算有用手機上網的天數?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【E2有答(01)或E17答(01)或E18答(01),才需回答此題】 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.答案無法填答時(例如:一個月只看1天)或每週平均用不到0.5天,請填入「95」。 ________天 □"
205,vCKE4,CKE4,manual,no automatic proposal,1,,,,,,,,no numeric range found,"CKE4‧【檢查題】【請注意】【E4>D2時(D2<=7,E4<=7,E4>D2;D2=95,1<=E4<=7,顯示此題】 您之前答每週透過手機上網(E4)【貼E4答案】天,超過使用手機的總天數(D2)【貼D2答案】天。 請回「上一題」,在E4題重新確認透過手機上網天數,或回到D2題重新確認手機使用天數。 (01) 請重新確認D2與E4的使用天數【互斥無法點選,選項號隱藏】"
206,vE5,E5,mismatch,existing r1-r4 differ from proposal,"0,2359",9797,9898,,9797,9898,,,option code span including table,"E5‧請問您因工作或課業所需利用手機上網的時間大概有多久?只算您上網時眼睛有在看螢幕的時間。 訪員注意: 1.若為區間請取「中間值」,例如:2~3小時,請填入「0230」。 2.若2個小時多一點,請填入「0215」;2小時多接近3小時,請填入「0245」。 3.若受訪者表示並不會因工作或課業所需而使用手機,請填入「0000」。 4.若受訪者表示不知道請填入「9797」,拒答請填入「9898」。 ____________(時分4碼) □ (9797)不知道 □ (9898)拒答"
207,vE6,E6,mismatch,existing r1-r4 differ from proposal,"0,2359",9797,9898,,9797,9898,,,option code span including table,"E6‧請問您不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)的手機上網時間大概有多久?只算您上網時眼睛有在看螢幕的時間。 受訪者的學習狀況:【貼O1_1答案】 受訪者的工作狀況:【貼O1答案】 訪員注意: 1.若為區間請取「中間值」,例如:2~3小時,請填入「0230」。 2.若2個小時多一點,請填入「0215」;2小時多接近3小時,請填入「0245」。 3.若受訪者表示並不會在非因工作或課業所需使用手機,請填入「0000」。 4.若受訪者表示不知道請填入「9797」,拒答請填入「9898」。 ____________(時分4碼) □ (9797)不知道 □ (9898)拒答"
208,vCKE5,CKE5,mismatch,existing r1-r4 differ from proposal,"1,88",97,98,,97,98,,,option code span including table,"CKE5 檢查題(顯示題) 【請注意】【E2有答(01)或E17答(01)或E18答(01),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E5+E6=0者】【E2有答(01)或E17答(01)或E18答(01),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E6=0者】 您之前答會透過手機上網,每星期因工作或課業所需和不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)上網的時間加總不應為0時0分,請回到E5、E6重新確認時數。 (01)請重新確認E5、E6題時數 【互斥無法點選,選項號隱藏】"
209,vE7,E7,mismatch,existing r1-r4 differ from proposal,"0.5,7",95,97,98,95,97,98,,option code span including table,"E7‧請問您每週平均有幾天會透過平板上網?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【E2有答(02)或E17答(02)或E18答(02)者,才需回答此題】 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.答案無法填答時(例如:一個月只看1天)或每週平均用不到0.5天,請填入「95」。 ________天 □ (95)每週平均用不到0.5天 | □ (98)拒答 | □ (97)不知道"
210,vE8,E8,mismatch,existing r1-r4 differ from proposal,"0,2359",9797,9898,,9797,9898,,,option code span including table,"E8‧請問因工作或課業所需利用平板上網的時間大概有多久?只算您「眼睛有看著平板螢幕」的時間。 * 請以發生頻率較高(天數較多)來回答一整天看的時間,不是填看最長的時間。例如星期一到星期四都是3小時,星期五到星期日都是6小時,則頻率較高為星期一到星期四,答案填入「0300」。 訪員注意: 1.若為區間請取「中間值」,例如:2~3小時,請填入「0230」。 2.若2個小時多一點,請填入「0215」;2小時多接近3小時,請填入「0245」。 3.若受訪者表示並不會因工作或課業所需而使用平板,請填入「0000」。 4.若受訪者表示不知道請填入「9797」,拒答請填入「9898」。 __________"
211,vE9,E9,mismatch,existing r1-r4 differ from proposal,"0,2359",9797,9898,,9797,9898,,,option code span including table,"E9‧請問您不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)的平板上網時間大概有多久?只算您「眼睛有看著平板螢幕」的時間? * 請以發生頻率較高(天數較多)來回答一整天看的時間,不是填看最長的時間。例如星期一到星期四都是3小時,星期五到星期日都是6小時,則頻率較高為星期一到星期四,答案填入「0300」。 訪員注意: 1.若為區間請取「中間值」,例如:2~3小時,請填入「0230」。 2.若2個小時多一點,請填入「0215」;2小時多接近3小時,請填入「0245」。 3.若受訪者表示並不會在非因工作或課業所需而使用平板,請填入「0000」。 4.若受訪者表示不知道請填入「9797」,拒答請填入"
212,vCKE8,CKE8,mismatch,existing r1-r4 differ from proposal,"1,88",97,98,,97,98,,,option code span including table,"CKE8 檢查題(顯示題) 【請注意】【E2有答(02)或E17答(02)或E18答(02),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E8+E9=0者;或2. E2有答(02)或E17答(02)或E18答(02),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E9=0者】 您之前答會透過平板上網,每星期因工作或課業所需和不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)平板上網的時間加總不應為0時0分,請回到E8、E9重新確認時數。 (01)請重新確認E8、E9題時數 【互斥無法點選,選項號隱藏】"
213,vE10,E10,mismatch,existing r1-r4 differ from proposal,"0.5,7",95,97,98,95,97,98,,option code span including table,"E10‧請問您每週平均有幾天會透過電腦上網?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【E2有答(03)或E17答(03)或E18答(03),才需回答此題】 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.答案無法填答時(例如:一個月只用電腦上網1天)或每週平均用不到0.5天,請填入「95」。 ________天 □ (95)每週平均用電腦上網不到0.5天 □ (97)不知道 □ (98)拒答"
214,vE11,E11,mismatch,existing r1-r4 differ from proposal,"0,2359",9797,9898,,9797,9898,,,option code span including table,"E11‧請問您因工作或課業所需利用電腦上網的時間大概有多久?只算您「眼睛有在看螢幕」的時間。 * 請以發生頻率較高(天數較多)來回答一整天看的時間,不是填看最長的時間。例如星期一到星期四都是3小時,星期五到星期日都是6小時,則頻率較高為星期一到星期四,答案填入「0300」。 訪員注意: 1.若為區間請取「中間值」,例如:2~3小時,請填入「0230」。 2.若2個小時多一點,請填入「0215」;2小時多接近3小時,請填入「0245」。 3.若受訪者表示並不會因工作或課業所需而使用電腦,請填入「0000」。 4.若受訪者表示不知道請填入「9797」,拒答請填入「9898」。 __________"
215,vE12,E12,mismatch,existing r1-r4 differ from proposal,"0,2359",9797,9898,,9797,9898,,,option code span including table,"E12‧請問您不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)的電腦上網時間大概有多久?只算您「上網時眼睛有在看螢幕」的時間。 * 請以發生頻率較高(天數較多)來回答一整天看的時間,不是填看最長的時間。例如星期一到星期四都是3小時,星期五到星期日都是6小時,則頻率較高為星期一到星期四,答案填入「0300」。 訪員注意: 1.若為區間請取「中間值」,例如:2~3小時,請填入「0230」。 2.若2個小時多一點,請填入「0215」;2小時多接近3小時,請填入「0245」。 3.若受訪者表示並不會在非因工作或課業所需而使用電腦,請填入「0000」。 4.若受訪者表示不知道請填入「9797」,拒答請"
216,vCKE11,CKE11,mismatch,existing r1-r4 differ from proposal,"1,88",97,98,,97,98,,,option code span including table,"CKE11 檢查題(顯示題) 【請注意】【E2有答(03)或E17答(03)或E18答(03),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E11+E12=0者;或2. E2有答(03)或E17答(03)或E18答(03),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E12=0者】 您之前答會透過電腦上網,每星期因工作或課業所需和不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)電腦上網的時間加總不應為0時0分,請回到E11、E12重新確認時數。 (01)請重新確認E11、E12題時數 【互斥無法點"
217,vE3,E3,match,,"1,2359",9797,9898,,"1,2359",9797,9898,,explicit numeric range,"E3‧請問您一天上網的時間是多少?【數值題,範圍:0001-2359、9797、9898】【E1答(01)者,需回答此題】 受訪者上網方式: 即時通訊軟體:【貼K1答案】 社群媒體:【貼K2答案】 網路影音平台:【貼K3答案】 *請以受訪者上網方式調整E3題的問法。例如:受訪者的上網方式只有使用LINE,請調整為「請問 您一天使用LINE的時間是多少?」,若是有使用LINE也有用YouTube聽音樂,請調整為「請問您一天使用LINE與用YouTube聽音樂的時間是多少?」 *請考慮一週七天,以發生頻率較高(天數較多)來回答一整天使用時間,不是填用最長的時間。例如星期一到星期四都是3小時,星期五"
218,vE13m01,E13,match,,"0,1",,,,"0,1",,,,multiple-response binary,"E13‧請問您上網的原因或動機是什麼呢(包括用【貼題E2】)?(可多選)(卡19)【E1答(01)者,需回答此題】 訪員注意:括號內只是舉例,若有符合括號內其中一項就可以選。 □ (01)維繫友誼與他人保持聯絡(傳LINE、滑臉書等) □ (02)娛樂消遣(玩遊戲、看卡通動漫、看電影、戲劇、看直播、聽音樂、交友軟體、追星、命理 | 占卜、打發時間、無聊) □ (03)獲得時事/新聞/政府資訊(搜尋關鍵字、看新聞、看政府資訊、天氣資訊) □ (04)獲得生活休閒資訊(美食、觀光旅遊、醫療衛生保健、家庭生活、親子婚姻關係、交通資 | 訊) □ (05)理財消費購"
219,vE13m02,E13,match,,"0,1",,,,"0,1",,,,multiple-response binary,"E13‧請問您上網的原因或動機是什麼呢(包括用【貼題E2】)?(可多選)(卡19)【E1答(01)者,需回答此題】 訪員注意:括號內只是舉例,若有符合括號內其中一項就可以選。 □ (01)維繫友誼與他人保持聯絡(傳LINE、滑臉書等) □ (02)娛樂消遣(玩遊戲、看卡通動漫、看電影、戲劇、看直播、聽音樂、交友軟體、追星、命理 | 占卜、打發時間、無聊) □ (03)獲得時事/新聞/政府資訊(搜尋關鍵字、看新聞、看政府資訊、天氣資訊) □ (04)獲得生活休閒資訊(美食、觀光旅遊、醫療衛生保健、家庭生活、親子婚姻關係、交通資 | 訊) □ (05)理財消費購"
220,vE13m03,E13,match,,"0,1",,,,"0,1",,,,multiple-response binary,"E13‧請問您上網的原因或動機是什麼呢(包括用【貼題E2】)?(可多選)(卡19)【E1答(01)者,需回答此題】 訪員注意:括號內只是舉例,若有符合括號內其中一項就可以選。 □ (01)維繫友誼與他人保持聯絡(傳LINE、滑臉書等) □ (02)娛樂消遣(玩遊戲、看卡通動漫、看電影、戲劇、看直播、聽音樂、交友軟體、追星、命理 | 占卜、打發時間、無聊) □ (03)獲得時事/新聞/政府資訊(搜尋關鍵字、看新聞、看政府資訊、天氣資訊) □ (04)獲得生活休閒資訊(美食、觀光旅遊、醫療衛生保健、家庭生活、親子婚姻關係、交通資 | 訊) □ (05)理財消費購"
221,vE13m04,E13,match,,"0,1",,,,"0,1",,,,multiple-response binary,"E13‧請問您上網的原因或動機是什麼呢(包括用【貼題E2】)?(可多選)(卡19)【E1答(01)者,需回答此題】 訪員注意:括號內只是舉例,若有符合括號內其中一項就可以選。 □ (01)維繫友誼與他人保持聯絡(傳LINE、滑臉書等) □ (02)娛樂消遣(玩遊戲、看卡通動漫、看電影、戲劇、看直播、聽音樂、交友軟體、追星、命理 | 占卜、打發時間、無聊) □ (03)獲得時事/新聞/政府資訊(搜尋關鍵字、看新聞、看政府資訊、天氣資訊) □ (04)獲得生活休閒資訊(美食、觀光旅遊、醫療衛生保健、家庭生活、親子婚姻關係、交通資 | 訊) □ (05)理財消費購"
222,vE13m05,E13,match,,"0,1",,,,"0,1",,,,multiple-response binary,"E13‧請問您上網的原因或動機是什麼呢(包括用【貼題E2】)?(可多選)(卡19)【E1答(01)者,需回答此題】 訪員注意:括號內只是舉例,若有符合括號內其中一項就可以選。 □ (01)維繫友誼與他人保持聯絡(傳LINE、滑臉書等) □ (02)娛樂消遣(玩遊戲、看卡通動漫、看電影、戲劇、看直播、聽音樂、交友軟體、追星、命理 | 占卜、打發時間、無聊) □ (03)獲得時事/新聞/政府資訊(搜尋關鍵字、看新聞、看政府資訊、天氣資訊) □ (04)獲得生活休閒資訊(美食、觀光旅遊、醫療衛生保健、家庭生活、親子婚姻關係、交通資 | 訊) □ (05)理財消費購"
223,vE13m06,E13,match,,"0,1",,,,"0,1",,,,multiple-response binary,"E13‧請問您上網的原因或動機是什麼呢(包括用【貼題E2】)?(可多選)(卡19)【E1答(01)者,需回答此題】 訪員注意:括號內只是舉例,若有符合括號內其中一項就可以選。 □ (01)維繫友誼與他人保持聯絡(傳LINE、滑臉書等) □ (02)娛樂消遣(玩遊戲、看卡通動漫、看電影、戲劇、看直播、聽音樂、交友軟體、追星、命理 | 占卜、打發時間、無聊) □ (03)獲得時事/新聞/政府資訊(搜尋關鍵字、看新聞、看政府資訊、天氣資訊) □ (04)獲得生活休閒資訊(美食、觀光旅遊、醫療衛生保健、家庭生活、親子婚姻關係、交通資 | 訊) □ (05)理財消費購"
224,vE13m88,E13,match,,"0,1",96,,,"0,1",96,,,multiple-response binary,"E13‧請問您上網的原因或動機是什麼呢(包括用【貼題E2】)?(可多選)(卡19)【E1答(01)者,需回答此題】 訪員注意:括號內只是舉例,若有符合括號內其中一項就可以選。 □ (01)維繫友誼與他人保持聯絡(傳LINE、滑臉書等) □ (02)娛樂消遣(玩遊戲、看卡通動漫、看電影、戲劇、看直播、聽音樂、交友軟體、追星、命理 | 占卜、打發時間、無聊) □ (03)獲得時事/新聞/政府資訊(搜尋關鍵字、看新聞、看政府資訊、天氣資訊) □ (04)獲得生活休閒資訊(美食、觀光旅遊、醫療衛生保健、家庭生活、親子婚姻關係、交通資 | 訊) □ (05)理財消費購"
225,vE14,E14,mismatch,existing r1-r4 differ from proposal,"0,100000",999991,999997,999998,999991,999997,999998,,option code span including table,"E14‧請問您每個月平均在網路上消費(買東西)大概花多少錢?(例如:購物、購買遊戲點數、下載音樂或電影等)【數值題,範圍0-100000,超過最大值則填999991】【E1答(01)者,需回答此題】 訪員注意: 1.若算不出來,請回想最近一個月的網路消費情形,請別人在網路上買東西不算。 2.若每個月消費的價格不一定(有時幾百塊、有時幾千塊),則以平均計算;如受訪者表示沒有在網路上消費,請鍵入「0」;超過10萬元請鍵入「999991」。 _____元 □ (999991)超過10萬元 □ (999997)不知道□ (999998)拒答 G、傳播行為(網路新聞篇)"
226,vG7m01,G7,match,,"0,1",,,,"0,1",,,,multiple-response binary,"G7‧請問您經常透過哪一些社群媒體、入口網站及整合新聞網站來看網路新聞?(可多選) 【訪員讀題完畢後,請將平板轉給受訪者選擇,並由訪員協助點選】【不顯示選項編號,選項(01)-(12)隨機出現】【E1答(01)者,需回答此題】 提示說明: 1.括號內只是舉例,若有符合括號內其中一項就可以選。 2.若是在臉書上出現什麼新聞、就看什麼新聞,請選「社群媒體」。 □ (01)社群媒體(例如:臉書、Threads、X)【與K2答(90)者互斥】 □ (02)即時通訊軟體(例如:LINE Today、WeChat微信)【與K1答(90)者互斥】 □ (03)Yahoo!新聞 □ (04)Microsoft"
